routeId,avgSpeed,count
705,29.186081257460323,1999
1158,25.589024489576197,1999
138,37.75832227785932,1999
77,24.27125765361387,999
270,31.338204354471475,1999
15,64.72647887663743,1000
912,13.742525240510345,1999
785,24.27125765361387,1000
87,24.205545467639368,1999
1114,49.077187093534555,999
219,30.92837479948819,1999
158,41.375963194999706,1000
30,6.448380814828714,1999
287,25.863634832179876,1999
166,87.36156044422724,1000
1129,46.834194371202585,999
939,21.926918283930693,999
813,7.858234343229186,1000
175,54.9468370844023,1000
815,18.546657673029,999
1201,37.32188279674909,1999
1075,37.02451879347259,1999
947,31.997948076657764,1999
564,64.72647887663744,999
888,25.312726086047967,1999
889,37.07977480504439,2999
571,70.43687994178934,2999
638,87.36156044422724,999
255,50.04232769810438,1999
