routeId,avgSpeed,count
1,10.199454068428752,49753
2,10.214359329877292,49761
3,10.184616507807618,50224
4,10.200401305446796,49299
5,10.200090633791126,49668
6,10.182060090109678,49974
7,10.183014639178218,49597
8,10.19898222047131,49721
9,10.190617807921301,50122
10,10.217482539515588,49583
11,10.193935374863646,50027
12,10.205743350138327,49835
13,10.174815807795724,49265
14,10.164051202241328,49779
15,10.191672578792934,49635
16,10.20072504522868,49717
17,10.17683513782034,49906
18,10.176907439094435,49823
19,10.189414694217811,49638
20,10.18676975822271,49673
