routeId,avgSpeed,count
1,10.200527939074236,49245
2,10.211809836309799,49245
3,10.183720414035095,49705
4,10.200815595840021,48812
5,10.198568635635905,49163
6,10.183635817875519,49512
7,10.183506698324777,49116
8,10.19973834481532,49212
9,10.191972089166553,49640
10,10.2175098974944,49110
11,10.193018802072569,49494
12,10.204251453906016,49361
13,10.176109361667972,48760
14,10.16665654303779,49255
15,10.189927281756006,49103
16,10.19963505547085,49225
17,10.1766920188383,49403
18,10.175976703395865,49353
19,10.190411372218712,49113
20,10.186322443449132,49173
